# source, target, synapses
0,2,2
0,4,1
1,3,1
1,4,1
1,8,1
2,0,8
2,7,1
2,8,4
3,1,4
3,5,2
4,0,1
4,1,6
4,6,2
4,8,7
4,9,2
4,17,3
5,2,2
5,3,6
5,6,5
5,8,1
5,9,6
5,10,1
5,13,3
5,17,1
5,18,1
6,4,4
6,9,1
6,10,2
6,13,1
6,14,1
7,2,2
7,19,1
8,1,3
8,4,3
8,6,2
8,14,1
8,17,5
9,0,1
9,1,1
9,5,2
9,6,2
9,13,2
9,17,1
10,1,1
11,0,5
11,1,1
11,5,6
11,9,1
11,13,2
11,17,1
11,18,10
12,0,3
12,1,6
12,2,1
12,5,9
12,6,2
12,9,1
12,10,2
12,17,1
12,18,1
12,19,13
13,2,2
13,4,4
13,6,6
13,7,8
13,8,1
13,12,2
13,13,11
14,6,2
14,8,1
15,0,3
15,4,1
15,13,1
15,17,1
16,0,3
16,1,3
17,0,1
17,1,1
17,4,1
17,5,2
17,6,4
17,8,7
18,0,3
18,2,6
18,3,5
18,6,1
18,7,11
18,8,2
18,11,1
19,1,2
19,2,3
19,3,2
19,5,5
19,6,3
19,7,4
19,10,1
20,0,2
20,1,2
20,3,1
21,8,2
22,8,1
24,1,2
25,0,6
25,2,1
25,8,1
26,1,4
26,3,2
27,0,1
27,1,1
27,3,2
27,5,1
27,8,1
27,9,3
27,11,5
27,17,6
27,19,2
28,0,2
28,2,1
28,3,1
28,9,3
28,11,5
28,17,1
29,1,2
29,10,3
29,13,2
30,1,2
30,7,10
30,8,2
30,13,41
30,17,1
30,18,15
30,19,5
31,5,4
31,6,2
31,9,14
31,11,1
31,13,26
31,18,31
32,3,3
32,5,1
32,6,5
32,10,9
32,13,34
32,18,2
32,19,25
33,14,1
34,6,1
34,14,3
35,14,5
36,14,6
37,14,6
38,14,10
45,15,9
45,16,7
52,8,3
53,2,1
53,8,1
54,3,1
55,6,5
55,9,2
55,13,19
55,14,2
56,6,2
56,10,2
56,12,2
56,13,21
56,14,1
57,62,1
57,73,1
57,74,1
57,83,1
57,140,8
58,74,1
58,105,1
58,151,1
58,192,1
59,67,1
59,75,1
59,142,2
59,158,2
59,159,1
59,243,1
60,143,3
60,157,1
60,444,1
61,65,2
61,79,1
61,148,3
61,158,1
62,57,2
62,58,1
62,68,1
62,70,1
62,76,2
62,78,1
62,149,1
62,151,3
62,155,1
62,159,3
62,444,2
63,57,3
63,61,1
63,79,1
63,141,1
63,142,4
63,243,1
64,58,3
64,62,1
64,66,1
64,73,1
64,74,1
64,76,1
64,123,2
64,140,1
64,143,3
64,149,1
64,151,4
65,61,6
65,67,1
65,69,2
65,71,3
65,78,1
65,79,3
65,170,1
65,444,2
65,445,1
66,62,1
66,70,2
66,84,1
66,147,1
66,149,1
66,163,1
66,169,2
66,444,2
67,58,2
67,61,5
67,65,1
67,68,2
67,71,1
67,72,1
67,74,4
67,79,1
67,140,1
67,141,1
67,149,1
67,154,3
68,57,7
68,58,1
68,62,4
68,64,2
68,66,1
68,67,1
68,71,1
68,72,2
68,73,1
68,74,2
68,75,2
68,76,1
68,79,6
68,80,1
68,141,2
68,148,1
68,149,2
68,151,3
68,155,2
68,159,2
69,57,1
69,65,12
69,77,5
69,83,1
69,147,1
69,152,1
69,154,1
69,181,1
70,62,4
70,66,4
70,67,1
70,70,1
70,74,1
70,78,2
70,81,1
70,84,2
70,143,1
70,144,1
70,147,2
70,149,1
70,155,1
70,169,4
70,172,1
70,205,1
71,61,5
71,68,2
71,69,1
71,71,1
71,72,1
71,73,2
71,120,1
71,141,8
71,148,2
71,154,1
71,424,1
72,62,13
72,67,3
72,68,3
72,70,1
72,140,9
72,141,2
72,147,1
72,149,1
72,182,1
73,57,2
73,58,1
73,65,1
73,67,8
73,68,1
73,74,9
73,79,1
73,125,1
73,141,1
73,148,3
73,151,4
74,57,3
74,58,4
74,67,7
74,68,1
74,69,1
74,70,1
74,73,8
74,80,3
74,148,1
74,151,4
74,154,2
74,155,2
74,186,1
75,57,2
75,59,7
75,63,1
75,68,1
75,77,1
75,142,3
75,158,6
75,444,2
76,59,2
76,60,6
76,143,3
76,151,1
76,159,5
76,170,1
76,444,1
77,61,2
77,65,1
77,79,4
77,83,1
77,147,1
77,183,1
77,185,1
77,444,1
77,445,3
78,58,1
78,66,2
78,68,2
78,70,2
78,74,1
78,78,2
78,80,3
78,147,1
78,161,2
78,163,3
78,168,1
78,169,1
78,172,1
78,184,1
78,185,1
78,196,1
78,217,1
78,444,1
79,68,3
79,69,1
79,77,3
79,90,1
79,160,2
79,181,1
79,183,1
79,444,1
80,58,1
80,68,1
80,76,3
80,78,6
80,80,2
80,84,1
80,119,1
80,123,2
80,146,5
80,151,6
80,163,1
80,170,2
80,186,1
80,187,1
80,217,1
80,249,2
80,444,1
81,70,3
81,82,1
81,91,5
81,140,4
81,144,1
81,153,1
81,180,5
81,182,1
81,210,1
81,427,1
82,81,1
82,83,2
82,91,3
82,118,1
82,141,5
82,144,1
82,147,1
82,149,1
82,152,2
82,179,3
82,181,2
82,204,1
82,425,1
83,69,1
83,77,2
83,83,2
83,91,2
83,101,1
83,116,2
83,122,1
83,126,1
83,141,1
83,142,1
83,145,12
83,147,4
83,152,1
83,160,1
83,176,1
83,181,3
83,183,3
83,204,2
84,70,4
84,80,6
84,81,1
84,105,2
84,117,1
84,119,1
84,121,2
84,125,1
84,137,1
84,141,1
84,143,4
84,146,7
84,147,5
84,153,3
84,161,1
84,163,2
84,172,1
84,182,3
84,184,2
84,209,1
84,231,1
84,237,1
85,181,1
85,243,1
85,244,1
85,247,3
86,105,1
86,182,2
86,184,3
86,192,1
86,243,2
86,246,1
86,254,2
87,248,2
88,190,1
88,249,4
89,90,3
89,93,1
89,165,1
89,213,1
91,82,1
91,101,5
91,147,2
91,170,1
91,171,5
91,172,4
91,186,1
91,204,3
91,218,2
92,174,1
92,175,2
92,176,3
92,200,2
93,89,1
93,90,1
93,93,1
93,104,1
93,120,2
93,142,1
93,162,5
93,164,1
93,176,1
93,197,1
93,208,1
93,255,1
94,84,1
94,165,3
94,184,1
95,96,1
95,193,1
95,197,1
96,106,1
99,89,1
99,100,8
99,104,2
99,105,1
99,185,1
99,212,1
99,218,2
100,99,2
100,105,1
100,197,1
100,258,1
